Trong Excel thẻ quản ô (vùng) có thể được dùng để chọn câu SAI:,kéo thả,sao chép,điền dữ liệu,tạo số ngẫu nhiên
Phần mềm bảng tính không chạy trên desktop:,Microsoft Excel,IBM Lotus Symphony,Numbes,Zoho Office Suite
Trong bảng tính vùng cơ sở dữ liệu:,là vùng bảng tính được xác định bởi địa chỉ của ô trên phải và ô dưới phải,Trường (field) tương ứng với 1 dòng,Dòng đầu chứa các mẩu tin,Tất cả đều sai
Trong Excel 2003 hàm Dcount có chức năng: ,Đếm số ngày (day) nằm giữa 2 thời điểm,Đếm số chữ số (digit) của 1 số nguyên,Đếm dữ liệu (data) có trong bảng tính,Tất cả đều sai
"""PDF"" trong định dạng file .pdf của công ty Adobe System là viết tắt của: ",Postscript Document Format,Portable Data File,Portable Data Format,Portable Document Format
Định dạng file văn bản nào không có cấu trúc định dạng đính kèm: ,UTF-8,RTF,TEX,DOC
Font chữ nào không hỗ trợ gõ tiếng Việt,VNI-Times,.VnTimes,Lucida Console,Webdings
Trong thuyết trình dùng âm thanh nhạc và video khi:,Nhấn mạnh một điểm nào đó,Tăng độ chú ý với thính giả,Đưa ra một thông điệp,Cả 3 đều đúng
Đoạn văn nào viết đúng quy tắc soạn thảo văn bản,Môn học:Nhập môn CNTT(1).,Môn học: Nhập môn CNTT ( 1 ).,Môn học : Nhập môn CNTT ( 1 ) .,Môn học: Nhập môn CNTT (1).
   Trojan là một phương thức tấn công kiểu:,Can thiệp trực tiếp vào máy nạn nhân để lấy các thông tin quan trọng.,Đánh cắp dữ liệu của nạn nhân truyền trên mạng ,Tấn công làm tê liệt hệ thống mạng của nạn nhân,Điều khiển máy tính nạn nhân từ xa thông qua phần mềm cài sẵn trong máy nạn nhân.
Những công cụ trình diễn trong thuyết trình chọn câu SAI: ,Laptop,Laser pointer,Presenter Controller,Textmarker
